ln(NP),Fluence,label
0.69315,2.2277,Ripples
0.69315,2.9703,Ripples
0.69315,3.7129,Ripples
1.6094,0.74258,Ripples
1.6094,1.4851,Roughness
1.6094,2.2277,Roughness
1.6094,2.9703,Roughness
1.6094,3.7129,Roughness
2.3026,0.37129,Ripples
2.3026,0.74258,Ripples
2.3026,1.4851,Roughness
2.3026,2.2277,Roughness
2.3026,2.9703,Roughness
2.3026,3.7129,Roughness
2.9957,0.37129,Ripples
2.9957,0.74258,Ripples
2.9957,1.4851,Roughness
2.9957,2.2277,Ripples
2.9957,2.9703,Roughness
2.9957,3.7129,Roughness
3.6889,0.37129,Ripples
3.6889,0.74258,Ripples
3.6889,1.4851,Ripples
3.6889,2.2277,Spikes
3.6889,2.9703,Spikes
3.6889,3.7129,Spikes
4.382,0.37129,Ripples
4.382,0.74258,Grooves
4.382,1.4851,Grooves
4.382,2.2277,Spikes
4.382,2.9703,Spikes
4.382,3.7129,No structures
4.6052,0.37129,Ripples
4.6052,0.74258,Grooves
4.6052,1.4851,Grooves
4.6052,2.2277,Spikes
4.6052,2.9703,Spikes
4.6052,3.7129,No structures
5.2983,0.37129,Ripples
5.2983,0.74258,Grooves
5.2983,1.4851,Grooves
5.2983,2.2277,Spikes
5.2983,2.9703,Spikes
5.2983,3.7129,No structures
5.9915,0.37129,Ripples
5.9915,0.74258,Spikes
5.9915,1.4851,Spikes
5.9915,2.2277,Spikes
5.9915,2.9703,No structures
5.9915,3.7129,No structures
6.3969,0.37129,Ripples
6.3969,0.74258,Spikes
6.3969,1.4851,No structures
6.3969,2.2277,No structures
6.3969,2.9703,No structures
6.3969,3.7129,No structures
6.6846,0.37129,Ripples
6.6846,0.74258,No structures
6.6846,1.4851,No structures
6.6846,2.2277,No structures
6.6846,2.9703,No structures
6.6846,3.7129,No structures
6.9078,0.37129,Ripples
6.9078,0.74258,No structures
6.9078,1.4851,No structures
6.9078,2.2277,No structures
6.9078,2.9703,No structures
6.9078,3.7129,No structures
