ln(NP),Fluence,label
0.69315,0.06,Roughness
0.69315,0.13,Roughness
0.69315,0.25,Roughness
0.69315,0.5,Ripples
0.69315,0.76,Ripples
0.69315,1.13,Ripples
0.69315,1.26,Ripples
1.6094,0.06,Ripples
1.6094,0.13,Ripples
1.6094,0.25,Ripples
1.6094,0.5,Ripples
1.6094,0.76,Ripples
1.6094,1.13,Ripples
1.6094,1.26,Ripples
2.3026,0.03,Roughness
2.3026,0.06,Ripples
2.3026,0.13,Ripples
2.3026,0.25,Ripples
2.3026,0.5,Ripples
2.3026,0.76,Ripples
2.3026,1.13,Ripples
2.3026,1.26,Ripples
2.9957,0.03,Ripples
2.9957,0.06,Ripples
2.9957,0.13,Ripples
2.9957,0.25,Ripples
2.9957,0.5,Grooves
2.9957,0.76,Grooves
2.9957,1.13,Grooves
2.9957,1.26,Grooves
3.6889,0.03,Ripples
3.6889,0.06,Ripples
3.6889,0.13,Ripples
3.6889,0.25,Grooves
3.6889,0.5,Grooves
3.6889,0.76,Grooves
3.6889,1.13,Grooves
3.6889,1.26,Grooves
4.382,0.03,Ripples
4.382,0.06,Ripples
4.382,0.13,Ripples
4.382,0.25,Grooves
4.382,0.5,Grooves
4.382,0.76,Grooves
4.382,1.13,Grooves
4.382,1.26,Grooves
4.6052,0.03,Ripples
4.6052,0.06,Ripples
4.6052,0.13,Ripples
4.6052,0.25,Grooves
4.6052,0.5,Grooves
4.6052,0.76,Grooves
4.6052,1.13,Grooves
4.6052,1.26,Grooves
5.2983,0.03,Ripples
5.2983,0.06,Ripples
5.2983,0.13,Ripples
5.2983,0.25,Grooves
5.2983,0.5,Spikes
5.2983,0.76,Spikes
5.2983,1.13,Spikes
5.2983,1.26,Spikes
5.9915,0.03,Ripples
5.9915,0.06,Ripples
5.9915,0.13,Ripples
5.9915,0.25,Grooves
5.9915,0.5,Spikes
5.9915,0.76,Spikes
5.9915,1.13,Spikes
5.9915,1.26,Spikes
6.3969,0.03,Ripples
6.3969,0.06,Ripples
6.3969,0.13,Ripples
6.3969,0.25,Grooves
6.3969,0.5,Spikes
6.3969,0.76,Spikes
6.3969,1.13,Spikes
6.3969,1.26,Spikes
6.6846,0.03,Ripples
6.6846,0.06,Ripples
6.6846,0.13,Ripples
6.6846,0.25,Spikes
6.6846,0.5,Spikes
6.6846,0.76,Spikes
6.6846,1.13,Spikes
6.6846,1.26,Spikes
6.9078,0.03,Ripples
6.9078,0.06,Ripples
6.9078,0.13,Ripples
6.9078,0.25,Spikes
6.9078,0.5,Spikes
6.9078,0.76,Spikes
6.9078,1.13,Spikes
6.9078,1.26,Spikes
